LCLid,stdorToU,DateTime,consumption_Wh
MAC000100,Std,2013-12-24 21:30:00,340.0
MAC000100,Std,2013-12-24 22:00:00,280.0
MAC000100,Std,2013-12-24 22:30:00,273.0
MAC000100,Std,2013-12-24 23:00:00,200.0
MAC000100,Std,2013-12-24 23:30:00,71.0
MAC000100,Std,2013-12-25 00:00:00,81.0
MAC000100,Std,2013-12-25 00:30:00,115.0
MAC000100,Std,2013-12-25 01:00:00,67.0
MAC000100,Std,2013-12-25 01:30:00,69.0
MAC000100,Std,2013-12-25 02:00:00,66.0
MAC000100,Std,2013-12-25 02:30:00,71.0
MAC000100,Std,2013-12-25 03:00:00,78.0
MAC000100,Std,2013-12-25 03:30:00,96.0
MAC000100,Std,2013-12-25 04:00:00,68.0
MAC000100,Std,2013-12-25 04:30:00,68.0
MAC000100,Std,2013-12-25 05:00:00,70.0
MAC000100,Std,2013-12-25 05:30:00,80.0
MAC000100,Std,2013-12-25 06:00:00,66.0
MAC000100,Std,2013-12-25 06:30:00,96.0
MAC000100,Std,2013-12-25 07:00:00,104.0
MAC000100,Std,2013-12-25 07:30:00,108.0
MAC000100,Std,2013-12-25 08:00:00,112.0
MAC000100,Std,2013-12-25 08:30:00,123.0
MAC000100,Std,2013-12-25 09:00:00,307.0
MAC000100,Std,2013-12-25 09:30:00,170.0
MAC000100,Std,2013-12-25 10:00:00,141.0
MAC000100,Std,2013-12-25 10:30:00,202.0
MAC000100,Std,2013-12-25 11:00:00,94.0
MAC000100,Std,2013-12-25 11:30:00,63.0
MAC000100,Std,2013-12-25 12:00:00,198.0
MAC000100,Std,2013-12-25 12:30:00,290.0
MAC000100,Std,2013-12-25 13:00:00,220.0
MAC000100,Std,2013-12-25 13:30:00,192.0
MAC000100,Std,2013-12-25 14:00:00,162.0
MAC000100,Std,2013-12-25 14:30:00,408.0
MAC000100,Std,2013-12-25 15:00:00,161.0
MAC000100,Std,2013-12-25 15:30:00,268.0
MAC000100,Std,2013-12-25 16:00:00,373.0
MAC000100,Std,2013-12-25 16:30:00,265.0
MAC000100,Std,2013-12-25 17:00:00,818.0
MAC000100,Std,2013-12-25 17:30:00,248.0
MAC000100,Std,2013-12-25 18:00:00,284.0
MAC000100,Std,2013-12-25 18:30:00,256.0
MAC000100,Std,2013-12-25 19:00:00,266.0
MAC000100,Std,2013-12-25 19:30:00,243.0
MAC000100,Std,2013-12-25 20:00:00,258.0
MAC000100,Std,2013-12-25 20:30:00,235.0
MAC000100,Std,2013-12-25 21:00:00,220.0
MAC000100,Std,2013-12-25 21:30:00,314.0
MAC000100,Std,2013-12-25 22:00:00,371.0
MAC000100,Std,2013-12-25 22:30:00,229.0
MAC000100,Std,2013-12-25 23:00:00,252.0
MAC000100,Std,2013-12-25 23:30:00,106.0
MAC000100,Std,2013-12-26 00:00:00,89.0
MAC000100,Std,2013-12-26 00:30:00,65.0
MAC000100,Std,2013-12-26 01:00:00,96.0
MAC000100,Std,2013-12-26 01:30:00,79.0
MAC000100,Std,2013-12-26 02:00:00,63.0
MAC000100,Std,2013-12-26 02:30:00,66.0
MAC000100,Std,2013-12-26 03:00:00,70.0
MAC000100,Std,2013-12-26 03:30:00,74.0
MAC000100,Std,2013-12-26 04:00:00,86.0
MAC000100,Std,2013-12-26 04:30:00,90.0
MAC000100,Std,2013-12-26 05:00:00,63.0
MAC000100,Std,2013-12-26 05:30:00,61.0
MAC000100,Std,2013-12-26 06:00:00,63.0
MAC000100,Std,2013-12-26 06:30:00,64.0
MAC000100,Std,2013-12-26 07:00:00,121.0
MAC000100,Std,2013-12-26 07:30:00,143.0
MAC000100,Std,2013-12-26 08:00:00,266.0
MAC000100,Std,2013-12-26 08:30:00,304.0
MAC000100,Std,2013-12-26 09:00:00,292.0
MAC000100,Std,2013-12-26 09:30:00,1059.0
MAC000100,Std,2013-12-26 10:00:00,235.0
MAC000100,Std,2013-12-26 10:30:00,724.0
MAC000100,Std,2013-12-26 11:00:00,1107.0
MAC000100,Std,2013-12-26 11:30:00,177.0
MAC000100,Std,2013-12-26 12:00:00,1067.0
MAC000100,Std,2013-12-26 12:30:00,1450.0
MAC000100,Std,2013-12-26 13:00:00,981.0
MAC000100,Std,2013-12-26 13:30:00,253.0
MAC000100,Std,2013-12-26 14:00:00,486.0
MAC000100,Std,2013-12-26 14:30:00,159.0
MAC000100,Std,2013-12-26 15:00:00,121.0
MAC000100,Std,2013-12-26 15:30:00,235.0
MAC000100,Std,2013-12-26 16:00:00,813.0
MAC000100,Std,2013-12-26 16:30:00,344.0
MAC000100,Std,2013-12-26 17:00:00,385.0
MAC000100,Std,2013-12-26 17:30:00,1085.0
MAC000100,Std,2013-12-26 18:00:00,1320.0001
MAC000100,Std,2013-12-26 18:30:00,256.0
MAC000100,Std,2013-12-26 19:00:00,339.0
MAC000100,Std,2013-12-26 19:30:00,364.0
MAC000100,Std,2013-12-26 20:00:00,302.0
MAC000100,Std,2013-12-26 20:30:00,296.0
MAC000100,Std,2013-12-26 21:00:00,285.0
MAC000100,Std,2013-12-26 21:30:00,239.0
MAC000100,Std,2013-12-26 22:00:00,350.0
MAC000100,Std,2013-12-26 22:30:00,234.0
MAC000100,Std,2013-12-26 23:00:00,255.0
MAC000100,Std,2013-12-26 23:30:00,122.0
MAC000100,Std,2013-12-27 00:00:00,65.0
MAC000100,Std,2013-12-27 00:30:00,64.0
MAC000100,Std,2013-12-27 01:00:00,63.0
MAC000100,Std,2013-12-27 01:30:00,68.0
MAC000100,Std,2013-12-27 02:00:00,62.0
MAC000100,Std,2013-12-27 02:30:00,99.0
MAC000100,Std,2013-12-27 03:00:00,86.0
MAC000100,Std,2013-12-27 03:30:00,70.0
MAC000100,Std,2013-12-27 04:00:00,74.0
MAC000100,Std,2013-12-27 04:30:00,62.0
MAC000100,Std,2013-12-27 05:00:00,66.0
MAC000100,Std,2013-12-27 05:30:00,67.0
MAC000100,Std,2013-12-27 06:00:00,100.0
MAC000100,Std,2013-12-27 06:30:00,93.0
MAC000100,Std,2013-12-27 07:00:00,105.0
MAC000100,Std,2013-12-27 07:30:00,144.0
MAC000100,Std,2013-12-27 08:00:00,157.0
MAC000100,Std,2013-12-27 08:30:00,389.0
MAC000100,Std,2013-12-27 09:00:00,278.0
MAC000100,Std,2013-12-27 09:30:00,419.0
MAC000100,Std,2013-12-27 10:00:00,159.0
MAC000100,Std,2013-12-27 10:30:00,93.0
MAC000100,Std,2013-12-27 11:00:00,90.0
MAC000100,Std,2013-12-27 11:30:00,98.0
MAC000100,Std,2013-12-27 12:00:00,196.0
MAC000100,Std,2013-12-27 12:30:00,177.0
MAC000100,Std,2013-12-27 13:00:00,262.0
MAC000100,Std,2013-12-27 13:30:00,278.0
MAC000100,Std,2013-12-27 14:00:00,427.0
MAC000100,Std,2013-12-27 14:30:00,668.0
MAC000100,Std,2013-12-27 15:00:00,130.0
MAC000100,Std,2013-12-27 15:30:00,218.0
MAC000100,Std,2013-12-27 16:00:00,243.0
MAC000100,Std,2013-12-27 16:30:00,274.0
MAC000100,Std,2013-12-27 17:00:00,235.0
MAC000100,Std,2013-12-27 17:30:00,346.0
MAC000100,Std,2013-12-27 18:00:00,483.0
MAC000100,Std,2013-12-27 18:30:00,341.0
MAC000100,Std,2013-12-27 19:00:00,339.0
MAC000100,Std,2013-12-27 19:30:00,245.0
MAC000100,Std,2013-12-27 20:00:00,249.0
MAC000100,Std,2013-12-27 20:30:00,275.0
MAC000100,Std,2013-12-27 21:00:00,288.0
MAC000100,Std,2013-12-27 21:30:00,369.0
MAC000100,Std,2013-12-27 22:00:00,253.0
MAC000100,Std,2013-12-27 22:30:00,266.0
MAC000100,Std,2013-12-27 23:00:00,200.0
MAC000100,Std,2013-12-27 23:30:00,109.0
MAC000100,Std,2013-12-28 00:00:00,85.0
MAC000100,Std,2013-12-28 00:00:00,85.0
MAC000100,Std,2013-12-28 00:30:00,62.0
MAC000100,Std,2013-12-28 01:00:00,63.0
MAC000100,Std,2013-12-28 01:30:00,76.0
MAC000100,Std,2013-12-28 02:00:00,65.0
MAC000100,Std,2013-12-28 02:30:00,97.0
MAC000100,Std,2013-12-28 03:00:00,74.0
MAC000100,Std,2013-12-28 03:30:00,63.0
MAC000100,Std,2013-12-28 04:00:00,61.0
MAC000100,Std,2013-12-28 04:30:00,84.0
MAC000100,Std,2013-12-28 05:00:00,67.0
MAC000100,Std,2013-12-28 05:30:00,96.0
MAC000100,Std,2013-12-28 06:00:00,70.0
MAC000100,Std,2013-12-28 06:30:00,62.0
MAC000100,Std,2013-12-28 07:00:00,93.0
MAC000100,Std,2013-12-28 07:30:00,136.0
MAC000100,Std,2013-12-28 08:00:00,117.0
MAC000100,Std,2013-12-28 08:30:00,339.0
MAC000100,Std,2013-12-28 09:00:00,140.0
MAC000100,Std,2013-12-28 09:30:00,124.0
MAC000100,Std,2013-12-28 10:00:00,185.0
MAC000100,Std,2013-12-28 10:30:00,381.0
MAC000100,Std,2013-12-28 11:00:00,343.0
MAC000100,Std,2013-12-28 11:30:00,511.0
MAC000100,Std,2013-12-28 12:00:00,1041.0
MAC000100,Std,2013-12-28 12:30:00,1025.0
MAC000100,Std,2013-12-28 13:00:00,198.0
MAC000100,Std,2013-12-28 13:30:00,509.0
MAC000100,Std,2013-12-28 14:00:00,929.0
MAC000100,Std,2013-12-28 14:30:00,898.0
MAC000100,Std,2013-12-28 15:00:00,150.0
MAC000100,Std,2013-12-28 15:30:00,571.0
MAC000100,Std,2013-12-28 16:00:00,1514.0001
MAC000100,Std,2013-12-28 16:30:00,796.0
MAC000100,Std,2013-12-28 17:00:00,1584.0
MAC000100,Std,2013-12-28 17:30:00,469.0
MAC000100,Std,2013-12-28 18:00:00,435.0
MAC000100,Std,2013-12-28 18:30:00,331.0
MAC000100,Std,2013-12-28 19:00:00,240.0
MAC000100,Std,2013-12-28 19:30:00,255.0
MAC000100,Std,2013-12-28 20:00:00,288.0
MAC000100,Std,2013-12-28 20:30:00,256.0
MAC000100,Std,2013-12-28 21:00:00,263.0
MAC000100,Std,2013-12-28 21:30:00,333.0
MAC000100,Std,2013-12-28 22:00:00,251.0
MAC000100,Std,2013-12-28 22:30:00,282.0
MAC000100,Std,2013-12-28 23:00:00,170.0
MAC000100,Std,2013-12-28 23:30:00,74.0
MAC000100,Std,2013-12-29 00:00:00,67.0
MAC000100,Std,2013-12-29 00:30:00,67.0
MAC000100,Std,2013-12-29 01:00:00,67.0
MAC000100,Std,2013-12-29 01:30:00,107.0
MAC000100,Std,2013-12-29 02:00:00,101.0
MAC000100,Std,2013-12-29 02:30:00,63.0
MAC000100,Std,2013-12-29 03:00:00,65.0
MAC000100,Std,2013-12-29 03:30:00,67.0
MAC000100,Std,2013-12-29 04:00:00,73.0
MAC000100,Std,2013-12-29 04:30:00,98.0
MAC000100,Std,2013-12-29 05:00:00,71.0
MAC000100,Std,2013-12-29 05:30:00,69.0
MAC000100,Std,2013-12-29 06:00:00,89.0
MAC000100,Std,2013-12-29 06:30:00,65.0
MAC000100,Std,2013-12-29 07:00:00,82.0
MAC000100,Std,2013-12-29 07:30:00,140.0
MAC000100,Std,2013-12-29 08:00:00,111.0
MAC000100,Std,2013-12-29 08:30:00,252.0
MAC000100,Std,2013-12-29 09:00:00,193.0
MAC000100,Std,2013-12-29 09:30:00,192.0
MAC000100,Std,2013-12-29 10:00:00,167.0
MAC000100,Std,2013-12-29 10:30:00,214.0
MAC000100,Std,2013-12-29 11:00:00,270.0
MAC000100,Std,2013-12-29 11:30:00,187.0
MAC000100,Std,2013-12-29 12:00:00,277.0
MAC000100,Std,2013-12-29 12:30:00,258.0
MAC000100,Std,2013-12-29 13:00:00,412.0
MAC000100,Std,2013-12-29 13:30:00,90.0
MAC000100,Std,2013-12-29 14:00:00,83.0
MAC000100,Std,2013-12-29 14:30:00,87.0
